port_ID	port_name	lat	lon	buffer_in_KM	buffer_out_KM	Timezone	Shift1	Shift2	Shift3	Shift4	Shift5	Shift6	Shift7	Shift8	Shift9	ToUTC1	ToUTC2	ToUTC3	ToUTC4	ToUTC5	ToUTC6	ToUTC7	ToUTC8	ToUTC9	locode
60	Bejaia	36.7425642	5.079206109	24.1402	24.1402	Africa/Algiers	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	
467	Belawan	3.783333	98.683333	24.1402	24.1402	Asia/Jakarta	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	IDBLW
338	Belem	-1.439645416	-48.35206273	22.90270562	22.90270562	America/Belem	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	BRBEL
56	Belfast	54.62946625	-5.889146371	24.1402	24.1402	Europe/London	2015-03-29 02:00:00	2015-10-25 01:00:00	2016-03-27 02:00:00	2016-10-30 01:00:00	2017-03-26 02:00:00	2017-10-29 01:00:00	2018-03-25 02:00:00	2018-10-28 01:00:00	2019-03-31 02:00:00	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	GBBEL
860	Belize City			24.1402	24.1402																				
861	Bell Bay			24.1402	24.1402																				
1117	Belledune			24.1402	24.1402																				
1118	Bellingham			24.1402	24.1402																				
1119	Benete	-8.9	116.75	24.1402	24.1402	Asia/Makassar	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	IDBEN
862	Bengkulu			24.1402	24.1402																				
1120	Benicia			24.1402	24.1402																				
1121	Beppu			24.1402	24.1402																				
863	Berbera			24.1402	24.1402																				
1122	Berdiansk			24.1402	24.1402																				
281	Bergen	60.39103883	5.307605536	24.1402	24.1402	Europe/Oslo	2015-03-29 03:00:00	2015-10-25 02:00:00	2016-03-27 03:00:00	2016-10-30 02:00:00	2017-03-26 03:00:00	2017-10-29 02:00:00	2018-03-25 03:00:00	2018-10-28 02:00:00	2019-03-31 03:00:00	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	NOBGO
1192	Changshu			24.1402	24.1402																				
691	Changzhou	31.966667	119.983333	12.13985493	12.13985493	Asia/Shanghai	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	CNCZX
1193	Channahon IL			24.1402	24.1402																				
1194	Charco Azul			24.1402	24.1402																				
84	Charleston	32.84462782	-79.90564665	68.08	68.08	America/New_York	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	USCHS
1195	Charlestown			24.1402	24.1402																				
1196	Charlevoix			24.1402	24.1402																				
1197	Chatham			24.1402	24.1402																				
1198	Chekka			24.1402	24.1402																				
1199	Chemainus			24.1402	24.1402																				
3206	Chencun			24.1402	24.1402																				
258	Chennai	13.1	80.3	48.59333641	48.59333641	Asia/Calcutta	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	INMAA
1200	Cherbourg			24.1402	24.1402																				
524	Chester	39.85	-75.35	5.036288285	5.036288285	America/New_York	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	USCHT
869	Chiba Port			24.1402	24.1402																				
653	Chicago	41.883333	-87.6	24.1402	24.1402	America/Chicago	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	USCHI
1201	Chimbote			24.1402	24.1402																				
1202	Chioggia			24.1402	24.1402																				
1203	Chiriqui Grande Terminal			24.1402	24.1402																				
1204	Chisimaio			24.1402	24.1402																				
541	Chittagong	22.316667	91.816667	24.1402	24.1402	Asia/Dhaka	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-6.0	-6.0	-6.0	-6.0	-6.0	-6.0	-6.0	-6.0	-6.0	BDCGP
2120	Chittagong Shipbreakers			24.1402	24.1402																				
79	Chiwan	22.47357347	113.8726947	1.545024409	1.545024409	Asia/Shanghai	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	CNCWN
1205	Cienfuegos			24.1402	24.1402																				
1206	Cigading			24.1402	24.1402																				
1207	Cilacap			24.1402	24.1402																				
1208	Cincinnati			24.1402	24.1402																				
1209	Cirebon			24.1402	24.1402																				
1210	Cirkewwa			24.1402	24.1402																				
1211	Ciudad del Carmen			24.1402	24.1402																				
45	Civitavecchia	42.1056658	11.77090024	27.04	27.04	Europe/Rome	2015-03-29 03:00:00	2015-10-25 02:00:00	2016-03-27 03:00:00	2016-10-30 02:00:00	2017-03-26 03:00:00	2017-10-29 02:00:00	2018-03-25 03:00:00	2018-10-28 02:00:00	2019-03-31 03:00:00	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	ITCVV
654	Cleveland	41.5	-81.716667	24.1402	24.1402	America/New_York	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	USCLE
1212	Cleveland (AUS)			24.1402	24.1402																				
1213	CLOV FPSO Offshore Terminal			24.1402	24.1402																				
870	Coatzacoalcos			24.1402	24.1402																				
825	Cobh			24.1402	24.1402																				
34	Cochin	9.96666666667	76.2666666667	24.1402	24.1402	Asia/Calcutta	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	INCOK
1214	Coco Cay			24.1402	24.1402																				
463	El Maadiya			24.1402	24.1402																				
1282	El Palito			24.1402	24.1402																				
1283	El Segundo			24.1402	24.1402																				
1284	El Tor			24.1402	24.1402																				
618	El-Sokhna	29.7577046	32.361703	5.878236904	5.878236904	Africa/Cairo	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	EGSOK
1285	Elevsis			24.1402	24.1402																				
3227	Ellesmere	53.3802832	-3.0063307	4.486105936	4.486105936	Europe/London	2015-03-29 02:00:00	2015-10-25 01:00:00	2016-03-27 02:00:00	2016-10-30 01:00:00	2017-03-26 02:00:00	2017-10-29 01:00:00	2018-03-25 02:00:00	2018-10-28 01:00:00	2019-03-31 02:00:00	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	GBELM
391	Emden	53.34151257	7.201013245	24.1402	24.1402	Europe/Berlin	2015-03-29 03:00:00	2015-10-25 02:00:00	2016-03-27 03:00:00	2016-10-30 02:00:00	2017-03-26 03:00:00	2017-10-29 02:00:00	2018-03-25 03:00:00	2018-10-28 02:00:00	2019-03-31 03:00:00	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	DEEME
1286	Endelave			24.1402	24.1402																				
3232	Enkhuizen			24.1402	24.1402																				
875	Ennore			24.1402	24.1402																				
265	Ensenada	31.85309104	-116.6295891	26.72	26.72	America/Tijuana	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	8.0	7.0	8.0	7.0	8.0	7.0	8.0	7.0	8.0	MXESE
1287	Eregli			24.1402	24.1402																				
1288	Erha Offshore Terminal			24.1402	24.1402																				
426	Erie			24.1402	24.1402																				
1289	Erith			24.1402	24.1402																				
1290	Ermoupolis			24.1402	24.1402																				
1291	Esbjerg			24.1402	24.1402																				
1292	Escanaba			24.1402	24.1402																				
721	Escobar	-34.25	-58.7666666667	24.1402	24.1402	America/Buenos_Aires	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	ARBDE
1293	Escravos			24.1402	24.1402																				
3181	Eskifjordur			24.1402	24.1402																				
117	Esmeraldas	0.990480505	-79.64972402	24.1402	24.1402	America/Guayaquil	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	ECESM
1011	ESPERANCE			24.1402	24.1402																				
1294	Etame FPSO Offshore Terminal			24.1402	24.1402																				
1295	Etouwan			24.1402	24.1402																				
2343	Eureka			24.1402	24.1402																				
2228	Evansville Indiana			24.1402	24.1402																				
530	Everett	48.0	-122.216667	24.1402	24.1402	America/Los_Angeles	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	7.0	8.0	7.0	8.0	7.0	8.0	7.0	8.0	7.0	USPAE
1296	Everett WA			24.1402	24.1402																				
2126	Exmouth			24.1402	24.1402																				
1297	Faaborg			24.1402	24.1402																				
2127	Falkenberg			24.1402	24.1402																				
1298	Fall River			24.1402	24.1402																				
351	Falmouth	50.15362389	-5.059500774	24.1402	24.1402	Europe/London	2015-03-29 02:00:00	2015-10-25 01:00:00	2016-03-27 02:00:00	2016-10-30 01:00:00	2017-03-26 02:00:00	2017-10-29 01:00:00	2018-03-25 02:00:00	2018-10-28 01:00:00	2019-03-31 02:00:00	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	GBFAL
481	Falmouth (Jamaica)			24.1402	24.1402																				
876	Famagusta			24.1402	24.1402																				
963	Fang Cheng Gang			24.1402	24.1402																				
881	Gulfport			24.1402	24.1402																				
693	Gunsan	35.97861111	126.7113889	24.1402	24.1402	Asia/Seoul	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	KRKUV
2225	Gushikawa			24.1402	24.1402																				
42	Gwangyang	34.89855884	127.664055	47.40612788	47.40612788	Asia/Seoul	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	KRKAN
1364	H+¦n+¦			24.1402	24.1402																				
2217	H+ñrn+¦sand			24.1402	24.1402																				
2197	HÃ¤rnÃ¶sand			24.1402	24.1402																				
2132	HÃ¶nÃ¶			24.1402	24.1402																				
882	Hachinohe			24.1402	24.1402																				
1365	Hadera			24.1402	24.1402																				
609	Hai Phong	20.9194	106.7052	24.1402	24.1402	Asia/Saigon	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	VNHPH
3065	Haibucun			24.1402	24.1402																				
98	Haifa	32.81726133	35.01250161	14.32	14.32	Asia/Jerusalem	2015-03-27 03:00:00	2015-10-25 01:00:00	2016-03-25 03:00:00	2016-10-30 01:00:00	2017-03-24 03:00:00	2017-10-29 01:00:00	2018-03-23 03:00:00	2018-10-28 01:00:00	2019-03-29 03:00:00	-2.0	-3.0	-2.0	-3.0	-2.0	-3.0	-2.0	-3.0	-2.0	ILHFA
883	Haikou			24.1402	24.1402																				
145	Haina	18.42312993	-70.01809223	7.517646599	7.517646599	America/Santo_Domingo	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	
609	Haiphong	20.9194	106.7052	24.1402	24.1402	Asia/Saigon	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	VNHPH
3167	Hakata	33.6	130.4	24.1402	24.1402	Asia/Tokyo	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	-9.0	JPHKT
966	Hakodate			24.1402	24.1402																				
3156	Halden			24.1402	24.1402																				
3205	Haldia	22.016667	88.083333	24.1402	24.1402	Asia/Calcutta	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	INHAL
301	Halifax	44.65139566	-63.59974287	17.54	17.54	America/Halifax	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	CAHAL
1366	Hallstavik			24.1402	24.1402																				
318	Halmstad	56.65148513	12.84584271	24.1402	24.1402	Europe/Stockholm	2015-03-29 03:00:00	2015-10-25 02:00:00	2016-03-27 03:00:00	2016-10-30 02:00:00	2017-03-26 03:00:00	2017-10-29 02:00:00	2018-03-25 03:00:00	2018-10-28 02:00:00	2019-03-31 03:00:00	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	SEHAD
1367	Hals			24.1402	24.1402																				
1368	Halul Island			24.1402	24.1402																				
1369	Hambantota			24.1402	24.1402																				
52	Hamburg	53.52808656	9.943580879	16.83502848	16.83502848	Europe/Berlin	2015-03-29 03:00:00	2015-10-25 02:00:00	2016-03-27 03:00:00	2016-10-30 02:00:00	2017-03-26 03:00:00	2017-10-29 02:00:00	2018-03-25 03:00:00	2018-10-28 02:00:00	2019-03-31 03:00:00	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-1.0	DEHAM
1370	Hamilton			24.1402	24.1402																				
967	Hamilton (Bermuda)			24.1402	24.1402																				
11	Hamina	60.51606369	27.1530304	8.517500941	8.517500941	Europe/Helsinki	2015-03-29 04:00:00	2015-10-25 03:00:00	2016-03-27 04:00:00	2016-10-30 03:00:00	2017-03-26 04:00:00	2017-10-29 03:00:00	2018-03-25 04:00:00	2018-10-28 03:00:00	2019-03-31 04:00:00	-2.0	-3.0	-2.0	-3.0	-2.0	-3.0	-2.0	-3.0	-2.0	
